year,month,day,title,director,cast,genre,href,gross(RM),Budget(Rm)
2005,11,3,Anak Mami Kembali,Abdul Razak Mohaideen,"Saiful Apek, Fasha Sandha, Azean Irdawaty, Waheeda, Farid Kamil, Piee, Ismail Din, Sheila Mambo, Zulkifli Zain, Normala Omar, Irma Hasmie, Nasir Ali, Abdul Shukor Mohaideen, Raudhah Che Wan, Rozita Che Wan",Comedy / Family,,,
2005,11,3,Salon,Woo Ming Jin,"Raja Farah Raja Aziz, Pierre Andre, Shah Kassim, Nasrizal Ngasri, Chelsia Ng, Jojo Struys, Zach Ubu, Syanie, Khatijah Tan, Ho Yuhang, Lily Chinniah, Kin Wah, Kisma Johar, Abu Bakar, Kevin, Naeim, Hariri, Azahari, Jaja, Zydeck Siew, Fahmi Fazil, Visvash, Avon, Andreas, Yin, Arif, Fauzi, Keith, Baby Stephanie, Saifullizan Tahir, Shatish, Baizura Kahar",Romance / Comedy,,,
2005,11,24,Pontianak Harum Sundal Malam II,Shuhaimi Baba,"Maya Karin, Rusdi Ramli, Ida Nerina, Rosyam Nor, Kavita Sidhu, Nanu Baharuddin, Zahim Albakri, Zaibo, Haiza, Shahronizam, Aziz Sattar, Pierre Andre, S. Shamsuddin, Rosnani Jamil, Mariani",Drama / Horror,,,
2005,12,8,Rock,Mamat Khalid,"Hasnul Rahmat, Que Haidar, Khir Rahman, Norazmi Bahron, Sofi Jikan, Siti Elizad, S. Amin Shahab, Norlida Ahmad, Julie Dahlan, Kamarool Yusof, Jaafar Onn, Sapri Ibrahim, Nabila Huda, Hani Hermi, Farah Man Kidal, Sarimah Mohd Daud, Loloq, Amy Search, Man Kidal Lefthanded, Nasir Jani, Hamid Gurkha, Rashidi Ishak, Hanifah Zainuddin, Shafiee Othman, Azmi Black Wings, Rosminah Sidek, Isrizal Mohd Isa, Mohd Herwan Sairon, Azhar Md Tasi, Mohd Hishamsul Yahya",Comedy / Musical,,,
2005,12,22,Baik Punya Cilok,Afdlin Shauki,"Afdlin Shauki, Awie, Hans Isaac, AC Mizal, Harun Salim Bachik, Patrick Teoh, Carmen Soo, Harith Iskander, Ida Nerina, Riezman Khuzaimi, Nadia Mustaffa, Din Beramboi",Action / Comedy,,,
2005,12,31,Uyir (The Soul),Premnath Pillai,"Logithavani, Geethanjali Kaushalya, Manimaran, Rajeshwaran, Mahesan, Marilyn John, Ghandhiben, Murugan, Prakash, Sasitharan Rajoo, Sasitharan, Gayathiri, Sivagami @ Sintha, Ageavalli, Bobby, Kasturi",Horror,,,
2006,1,5,Castello,Badaruddin Azmi,"Rosyam Nor, Erra Fazira, Que Haidar, Zain Ruffedge, Liyana Jasmay, Nur Emy Nadia, M. Rajoli, Nasrizal Ngasri, Zack Taipan, Bront Palarae, Erma Fatima, Kamarool Yusof, Prono",Drama / Crime,,,
2006,1,12,The 3rd Generation,CL Hor,"Cheng Kam Cheong, Nicholas Teo, I-Fun, Amber Chia, Carmen Soo, Melvin Sia, Paul Khoo",Drama,,,
2006,1,26,Buli Balik,Afdlin Shauki,"Afdlin Shauki, Hans Isaac, Nasha Aziz, AC Mizal, Umie Aida, Patrick Teoh, Ako Mustapha, Syanie, Sharifah Shahira, Soraya Dean, Harun Salim Bachik, Harith Iskander, Aziz M. Osman, Adibah Noor, Wahid, Riezman Khuzaimi, Ramlah Ram",Comedy / Drama,,,
2006,2,23,Main-Main Cinta,Abdul Razak Mohaideen,"Misha Omar, Adam, Dynas Mokhtar, Pierre Andre, Irma Hasmie, Farid Kamil, Saiful Apek, Azean Irdawaty, Vanida Imran, Azlee, M. Rajoli, Siti Elizad",Comedy / Romance,,,
2006,3,3,Ethirkaalam,C. Kumaresan,Sri Kumar,Drama / Action,,,
2006,3,9,Persona Non Grata,Syed Azidi Syed Abdul Aziz,"Hans Isaac, Erra Fazira, Keegan Kang, Phattarat Sudprasert, Fahrin Ahmad, M. Rajoli, Syanie, Patrick Teoh, Nancie Foo",Drama / Romance,,,
2006,3,23,Bujang Senang,Abdul Razak Mohaideen,"Saiful Apek, Fasha Sandha, Yassin Yahya, Norlia Ghani, Sharifah Shahirah, Maimunah Ahmad, Irma Hasmie, Nabila Huda, Serina Redzuawan, Maizurah Hamzah, Azza Elite, Aishah Sinclair, Annahita Bakavoli",Comedy / Romance,,,
2006,4,6,Gubra (Anxiety),Yasmin Ahmad,"Sharifah Amani, Adlin Aman Ramlie, Ida Nerina, Harith Iskander, Adibah Noor, Alan Yun Kam Lun, Tan Mei Ling, Thor Kah Hoong, Ng Choo Seong, Namron, Noorkhiriah Ahmad Shapie, Rozie Rashid, Juliana Ibrahim, Khir Rahman",Drama,,,
2006,5,4,Man Laksa,Mamat Khalid,"Yassin Yahya, Sharifah Aleya, Saiful Apek, Kartina Aziz, Harun Salim Bachik, Zami Ismail, Loloq @ Rosli Khamis, M. Rajoli, Aqasha, Nasrul Suhaimin, Osman Kering, Zahid, Farah, M. Daud Kilau, Fauziah Nawi, Sathiya, Hani Mohsin, Sharifah Shahora, Hasnul Rahmat, Nadia Mustafar",Comedy / Musical,,,
2006,5,18,Senario Pemburu Emas Yamashita,Aziz M. Osman,"Wahid, Mazlan, Azlee, Ilya Buang, Hamdan, Que Haidar, Nora Danish, Razak Ahmad, Beego, Hani",Action / Comedy,,,
2006,6,1,Tipah Tertipu The Movie,Ahmad Idham,"Azan Ruffedge, Amer Ruffedge, Cat Ruffedge, Hussein Ruffedge, Zain Ruffedge, Adlin Aman Ramlie, Intan Nurladyana",Comedy / Musical,,,
2006,8,10,Remp-It,Ahmad Idham,"Farid Kamil, Cat Farish, Julia Hana, Zul Huzaimi, Aqasha, Shah Kassim, Khatijah Tan, Wazi Abdul Hamid",Drama / Action,,,
2006,8,24,Gong,Sandosh Kesavan,"Jehan Miskin, Fasha Sandha, Elyana, Faizal Yusuf, Sharifah Sofia",Mystery / Horror,,,
2006,9,14,S'kali,Arivind Abraham,"Davina Goh, Jayaram Nagaraj, Derek Ong, Zimy Rozan, Angeline Rose, Jason Lo, Yasmin Ahmad",Drama,,,
2006,10,24,Bilut,Badaruddin Azmi,"Rosyam Nor, Que Haidar, Jericho Rosales, Siti Shahrizah, Ezlynn, Rusdi Ramli, Aqasha, Adlin Aman Ramlie, Bront Palarae, Sofi Jikan, Lisdawati, Celina Khor, Yasmin Hani, Khatijah Abu Hassan",Drama,,,
2006,10,24,Diva Popular,Erma Fatima,"Umie Aida, Ezlynn, Awie, Azean Irdawaty, Khatijah Tan, Sheila Rusly, Afdlin Shauki, Azwan Ali, Anita Sarawak",Comedy,,,
2006,10,26,Rain Dogs,Ho Yuhang,"Kuan Choon Wai, Cheung Wing Hong, Liu Wai Hung, Noorkhiriah Ahmad Shapie, Pete Teo, Yasmin Ahmad",Drama,,,
2006,11,9,Nana Tanjung,,"Piee, Saiful Apek, Fasha Sandha, Waheeda, Maideen, Sheila Mambo, Jehan Miskin, Ainul Aishah",Romance / Comedy / Family,,,
2006,11,16,Salah Bapak,AR Badul,"Saiful Apek, Umie Aida, Esma Daniel",Comedy,,,
2006,11,23,The Red Kebaya,,"Vanida Imran, Ramli Hassan, Bob Mercer, Zahim Albakri, Samantha Schubert",Drama,,,
2006,11,30,Cinta,Kabir Bhatia,"Rashidi Ishak, Nanu Baharuddin, Eizlan Yusof, Vanida Imran, Sharifah Amani, Pierre Andre, Que Haidar, Fasha Sandha, Rita Rudaini, Fatimah Abu Bakar, Rahim Razali, Bell Ngasri, Baizura Kahar, Gambit Saifullah, Henzi Andalas",Romance / Drama,,,
2006,11,30,Possessed,Bjarne Wong,"Amber Chia, Harisu, Alan Yun, Steve Yap, Sharifah Amani",Horror / Mystery,,,
2006,12,7,Cicak Man,Yusry Abdul Halim,"Saiful Apek, Yusry Abdul Halim, Aznil Nawawi, Fasha Sandha, AC Mizal, Adlin Aman Ramlie",Action / Comedy,,,
2006,12,14,Misi 1511,,"Eja, Rico Tampatty, Zamshuri Ramli, Adlin Aman Ramlie",Action / Comedy,,,
2006,12,21,Tentang Bulan,Ahmad Idham,"Aedy Ashraf, Erin Malek, Fatin Afifah",Drama / Comedy,,,
2006,12,21,Love Conquers All,,"Coral Ong Li Whei, Jiun Jiun, Stephen Chua Jyh Shyan",Romance,,,
2007,1,25,Syaitan,Badarudin Azmi,"Rosyam Nor, Que Haidar, Lisdawati, Liyana Jasmay",Horror,,,
2007,2,8,Qabil Khushry Qabil Igam,Zaili Sulan,"Rusdi Ramli, Erra Fazira, Hans Isaac, Ziana Zain, Fauziah Nawi, Rahim Razali, Mak Jah, Maimon Mutalib, Hisham Ahmad Tajuddin",Drama,,,
2007,2,18,Puaka Tebing Biru,Osman Ali,"Nasha Aziz, Umie Aida, Fahrin Ahmad, Sharifah Amani, Mislina Mustaffa, Corinne Adrienne",Horror / Mystery,,,
2007,3,8,Mukhsin,Yasmin Ahmad,"Shafie Naswip, Sharifah Aryana, Sharifah Aleya, Adibah Nor, Taiyuddin Bakar, Mislina Mustaffa",Comedy / Drama / Romance,,,
2007,3,22,Chermin,Zarina Abdullah,"Natasha Hudson, Deanna Yusof, Farid Kamil, Khatijah Tan, Maimon Mutalib",Horror / Mystery,,,
2007,4,5,Belakang,Ahmad Idham,"Pierre Andre, Intan Ladyana",Horror / Mystery,,,
2007,4,5,The Bird House,Khoo Eng Yow,,Drama,,,
2007,4,19,Zombi Kampung Pisang,Mamat Khalid,"Awie, Que Haidar, AC Mizal",Horror / Comedy,,,
2007,5,10,Sumolah,Afdlin Shauki,"Afdlin Shauki, Inthira Charoenpura, Gurmit Singh, Awie, Patrick Teoh, Radhi Khalid, Gavin Yap, Terry Gallyot, Ben Tan, Mohd Afif, Kartina Aziz, Din Beramboi",Drama / Comedy,,,
2007,5,10,Before We Fall in Love Again,James Lee,"Len Siew Mee, Pete Teo, Amy Len, Chye Chee Keong",Drama / Romance,,,
2007,5,10,Things We Do When We Fall In Love,James Lee,"Loh Bok Lai, Len Siew Mee",Drama / Romance,,,
2007,5,31,Waris Jari Hantu,Shuhaimi Baba,"Maya Karin, Azean Irdawaty, Rusdi Ramli, Kavita Sidhu, Nanu Baharuddin",Horror / Drama,,,
2007,6,28,Diva,Sharad Sharan,"Ning Baizura, Jeremy Thomas, Adam, Awal Ashaari, Jessica Iskandar, AC Mizal, Balkisyh Semundur Khan, Shenny Andrea, Fauziah Nawi, Pushpa Narayan",Musical / Drama,,,
2007,7,5,Chalanggai,Deepak Kumaran Menon,"Amir Muhammad, Gandhi Nathan, Dhaarshini Sankran",Drama / Comedy,,,
2007,7,12,Cinta Yang Satu,,"Zul Huzaimy, Siti Elizad, Sharifah Sofea, Harun Salim Bachik, Nabila Huda",Comedy / Romance,,,
2007,7,26,Haru Biru,,Adlin Aman Ramlie,Drama,,,
2007,8,9,Kayangan,,"Fazura, Teuku Zacky Azwar, Bienda",Comedy / Romance,,[17],
2007,8,9,Hidden Summer in My Heart,Felix Tan,"Gabe Ng, Yew Lan",Drama / Romance,,,
2007,8,23,Impak Maksima,,Eizlan Yusof,Action / Romance,,,
2007,9,7,Pool,Chris Chong Chan Fui,,Experimental short,,,
2007,10,13,Budak Lapok,Anwardi Jamil,Vanida Imran,Animation / Comedy,,,
2007,10,25,1957: Hati Malaya,Shuhaimi Baba,"Adlin Aman Ramlie, Maya Karin, Nanu Baharuddin",Patriotism / Historical,,,
2007,11,1,09-Sep,,,Romance / Comedy,,[25],
2007,11,15,Misteri Orang Minyak,,"Sharifah Sofea, Jobot Mehran, Fizz Fairuz, Fauzi Nawawi",Horror / Mystery,,[26],
2007,11,29,Nana Tanjung 2,,"Shaffii Jaafar, Saiful Apek, Fasha Sandha, Waheeda, Ainul Aishah, Sheila Mambo, Jehan Miskin, Mohd Hafiz",Romance / Family / Comedy,,,
2007,12,13,Anak Halal,Osman Ali,"Farid Kamil, Remy Ishak, Maya Karin, Fasha Sandha, Rosyam Nor, Bront Palarae, Raja Farah",Crime / Drama / Action,Tayangan Unggul,[28],
2007,12,20,Flower in the Pocket,Liew Seng Tat,,Drama / Romance,,,
2008,1,10,Jarum Halus,Mark Tan,"Christien New, Juliana Ibrahim, Razif Hashim, Rahim Razali, Farah Putri, Justin Chan, Megat Sharizal",Drama / Thriller,Adaptation of William Shakespeare's play Othello,,
2008,1,10,Kala Malam Bulan Mengambang,Mamat Khalid,"Rosyam Nor, Umie Aida, Kuswadinata, Corrien Adrienne, Avaa Vanjaa, Bront Palarae, Farid Kamil",Horror / Comedy,Tayangan Unggul,[1],
2008,1,24,Cuci,Hans Isaac,"Awie, Afdlin Shauki, AC Mizal, Hans Isaac, Erra Fazira, Khir Rahman, Harun Salim Bachik, Umie Aida, Rahim Razali, Yusni Jaafar",Comedy,,,
2008,2,7,Dunia Baru The Movie,M. Hitler Zami,"Pierre Andre, Erneelya Elyana, Anita Baharom, Ellyas Abdullah, Baizura Kahar, Ngasriah Ngasri, Iqram Dinzly, Almy Nadia, Mohd Hafiz Nafiah, Ridzuan Hashim, Rozita Che Wan",Drama / Comedy,,,
2008,2,21,Anak,,,Drama,Grand Brilliance,[4],
2008,3,6,Duyung,Abdul Razak Mohaideen,"Maya Karin, Saiful Apek, Awie, Yassin Yahya, Yasmin Hani, Raja Noor Baizura, Abu Bakar Omar, Hafidzuddin Fazil, Rosnah Mat Aris, Iqbal Mydin, Azhari Mohd Zain",Romance / Comedy / Fantasy,"KRU Studios, Grand Brilliance, Lineclear Motion Pictures",,
2008,3,20,Akhirat,,"Nabila Huda, Vanida Imran, Tony Eusoff",Drama / Romance,,[6],
2008,4,3,Evolusi KL Drift,Syamsul Yusof,"Syamsul Yusof, Aaron Aziz, Farid Kamil, Fasha Sandha, Iqram Dinzly, Diana Danielle, Buzen Hashim, Rizal Ashraf, Xy, Hetty Sarlene, Nurhuda Mohd Ali, Mohd Shahril",Action,"Skop Productions, Grand Brilliance",[8],
2008,4,17,Congkak,Ahmad Idham,"Nanu Baharuddin, Riezman Khuzaimi, M. Rajoli, Erin Malek, Erynne Erynna, Ruminah Sidek",Horror,Preceded by Jangan Pandang Belakang (2007),,
2008,5,1,Cinta U-Turn,Abdul Razak Mohaideen,"Awie, Fasha Sandha, Mazlan Pet Pet, Abu Bakar Omar, Jalaluddin Hassan, Azlee Jaafar, Fiza Elite",Comedy / Romance,,[10],
2008,5,29,Apa Kata Hati?,Saw Teong Hin,"Raja Farah, Farid Kamil, Awal Ashaari, Dynas Mokhtar, Awie, Kartina Aziz, Fauziah Ahmad Daud, Harun Salim Bachik, AC Mizal, Vanida Imran, Adlin Aman Ramlie",Comedy / Romance,Tayangan Unggul,,
2008,6,12,Pensil,M. Subash Abdullah,"M. Subash Abdullah, Ruminah Sidek, Maimon Mutalib",Drama,,[12],
2008,6,26,Sepi,Kabir Bhatia,"Afdlin Shauki, Vanida Imran, Nasha Aziz, Tony Eusoff, Eja, Riezman Khuzaimi, Baizura Kahar, Sein Ruffedge, Pierre Andre, Eizlan Yusof, Rozita Che Wan",Drama / Romance,,,
2008,7,24,I'm Not Single,Pierre Andre,"Awal Ashaari, Farid Kamil, Lisa Surihani, Ahmad Idham, Intan Ladyana",Comedy / Romance,,,
2008,8,7,Susuk,"Amir Muhammad, Naeim Ghalili","Ida Nerina, Sofea Jane, Noorkhiriah, Diana Rafar, Adlin Aman Ramlie, Aleeza Kassim, Hairie Othman",Thriller / Horror / Mystery,,,
2008,9,9,Block B,Chris Chong Chan Fui,,Experimental short,Canadian co-production,[16],
2008,9,25,Punggok Rindukan Bulan,Azharr Rudin,"Saeful Nazhif Satria, Sahronizam Noor, Maya Karin, Salehuddin Abu Bakar, Sharifah Amani",Drama,,,
2008,10,1,"Effendee Mazlan, Fariza Azlina Isahak","Liyana Jasmay, Syarul Ezani, Nas-T, Juliana Evans, Zeyna, Zahiril Adzim",Drama / Teen,"Red Films, Grand Brilliance",[18],,
2008,10,1,Senario The Movie: Episode 1,,"Lan Pet Pet, Azlee Jaafar, Wahid Mohamed, Eizlan Yusof",Action / Comedy,MIG Production,,
2008,10,16,Tipu Kanan Tipu Kiri,Sharad Sharan,"Christian Sugiono, Titi Kamal, Hans Isaac, Natasha Hudson, R. Madhavan",Comedy,,[20],
2008,10,30,Budak Kelantan,Wan Azli,"Danny, Bienda, Mohd Asrulfaizal, Along Eyzendy",Drama,,,
2008,11,13,Wayang,Hatta Azad Khan,"Eman Manan, Zul Huzaimy, Mas Muharni",Drama / Art,,[22],
2008,11,20,Selamat Pagi Cinta,,"Pierre Andre, Que Haidar, Sharifah Amani, Fazura",Romance / Drama,MIG Production,[23],
2008,11,27,Antoo Fighter,,"Awie, Radhi, Harun Salim Bachik, Bront Palarae",Horror / Comedy,,,
2008,12,4,Los dan Faun,Afdlin Shauki,"Hans Isaac, Adlin Aman Ramlie, Erra Fazira, AC Mizal, Ida Nerina, Afdlin Shauki, Stephen Rahman Hughes",Action / Comedy,,[25],
2008,12,4,Kinta 1881,C.L. Hor,"Robin Ho, David Bao, Michael Chin, Shawn Lee",Action / Martial Arts,Cantonese-language film,,
2008,12,11,Cicakman 2: Planet Hitam,Yusry Abdul Halim,"Fasha Sandha, Saiful Apek, AC Mizal, Ridzuan Hashim, Adlin Aman Ramlie, Aznil Nawawi",Comedy / Action,,[27],
2008,12,18,Histeria,James Lee,"Liyana Jasmay, Scha Alyahya, Yana Samsudin, Talya, Norisnainy, Adlin Aman Ramlie, Namron, Vanida Imran",Horror,"KRU Studios, Grand Brilliance",,
2008,12,25,Brainscan: Aku dan Topi Ajaib,,"Sharifah Shahira, Nik Adruce",Adventure / Comedy / Science Fiction,Preceded by Cicak Man (2006),,
2009,1,15,Maut,Badaruddin Azmi,"Que Haidar, Liyana Jasmay, Sabrina Hassan, Eja, Hasnul Rahmat, Raja Farah, Noreminadiya, Diana Danielle, Mohamad Bathich, Danny X-Factor, Hafidzuddin Fazil, Zack Taipan, Fouziah Ghous, Sherry Ibrahim, Awal Ashaari, Hamidah Wahab, Ajeeb Sani Tyson, Fauziah Nawi, Ridzuan Hashim",Thriller / Drama,Tayangan Unggul,[1],
2009,1,29,Sifu & Tongga,Abdul Razak Mohaideen,"Saiful Apek, Ahmad Nabil Ahmad, Fouziah Ghous, Erra Fazira, Azad Jasmin, Rozita Che Wan",Adventure / Comedy,,,
2009,2,12,,Mongehd Nizn Bermulabdul Razak,"Kannan Rajan, Nur Fathiah Diaz, Kee Yong Pin",Adventure / Animation,,[3],
2009,2,26,Rasukan Ablasa,Abdul Razak Mohaideen,"Fouziah Ghous, Gambit Saifullah, Almy Nadia, Mohd Hafiz",Thriller,,,
2009,3,12,in Hutan,Jeffery Wong,"Jeffery Wong, Zami Ismail, Opie Zami, Indah Han, Zalina",Horror / Thriller,,[5],
2009,3,12,Sayang,Bjarne Wong,"Sharifah Amani, Dafi, Samuel Rizal, Ebi Kornelis, Carmen Soo",Romance / Dance / Teen,,,
2009,3,26,Talentime,Yasmin Ahmad,"Mahesh Jugal Kishor, Pamela Chong, Jaclyn Victor, Syafie Naswip, Mislina Mustaffa, Azean Irdawaty, Adibah Noor",Comedy / Drama / Romance,,,
2009,4,9,Jangan Tegur,Pierre Andre,"Julia Ziegler, Pierre Andre, Nadia Mustafa, Almy Nadia, Ellie Suriati, Rozita Che Wan",Horror,Metrowealth,[8],
2009,4,23,Bohsia: Jangan Pilih Jalan Hitam,Syamsul Yusof,"Syamsul Yusof, Shaheizy Sam, Nabila Huda, Salina Saibi, Diana Danielle, Aaron Aziz",Action / Drama,,,
2009,5,7,Sell Out!,Yeo Joon Han,"Jerrica Lai, Peter Davis, Hannah Lo, Kee Thuan Chye",Comedy / Musical,Astro Shaw,[10],
2009,5,21,Karaoke,Chris Chong Chan Fui,,Drama,"English-, Mandarin-, Cantonese-language film",,
2009,5,21,Syurga Cinta,Ahmad Idham,"Awal Ashaari, Heliza Helmi, Haziq",Drama / Romance,MIG Pictures,[11],
2009,5,23,JOMLAH C.I.U.M,M. Subash Abdullah,"M. Subash Abdullah, Kenchana Devi, Wahiduzzaman, Pathieswaran",Drama / Patriotism,[12],,
2009,6,4,Jangan Pandang Belakang Congkak,Ahmad Idham,"Shaheizy Sam, Lan Pet Pet, Cat Farish, Lisa Surihani, Piee",Horror / Comedy,,,
2009,7,16,Skrip 7707,Abdul Razak Mohaideen,"Fasha Sandha, Fouziah Ghous, Que Haidar, Almy Nadia, Pekin Ibrahim",Thriller / Horror / Mystery,Grand Brilliance,[15],
2009,7,30,Setem,Kabir Bhatia,"Rashidi Ishak, Afdlin Shauki, Indi Nadarajah, Vanida Imran, Que Haidar, Bront Palarae, Harun Salim Bachik",Comedy / Action,Lineclear Motion Pictures,,
2009,9,20,Jin Notti,Azhari Mohd Zain,"Mawi, Fara Fauzana, Cat Farish, Bob Lokman, Ahmad Nabil Ahmad",Comedy / Fantasy,,,
2009,9,20,Momok The Movie,M. Jamil,"Faizal Ramli, Abon, Ahmad Nabil Ahmad, Aziz Sattar",Comedy / Horror / Suspense,,[17],
2009,10,8,Papadom,Afdlin Shauki,"Afdlin Shauki, Liyana Jasmay, Vanida Imran, Norkhiriah, Harun Salim Bachik, Farid Kamil, Scha Alyahya",Comedy / Drama / Family,Tayangan Unggul,[19],
2009,10,22,Lembing Awang Pulang Ke Dayang,Majed Salleh,"Farid Kamil, Siti Elizad, Zul Huzaimy, Lynette Ludi, Kuswadinata, Hattan",Drama / Romance / Historical,,,
2009,11,5,Pisau Cukur,Bernard Chauly,"Maya Karin, Fazura, Aaron Aziz, Eizlan Yusof, Redza Minhat, Nabila Huda, Umie Aida, Nabil Ahmad",Comedy / Romance,,[21],
2009,11,19,Senario The Movie Episode 2: Beach Boys,Ahmad Idham,"Azlee Jaafar, Lan Pet Pet, Wahid Mohamed, Maria Farida, Riezman Khuzaimi, Nik Sayyidah, Marsha Milan Londoh, Jamali Shadat",Adventure / Comedy,MIG Production,[22],
2009,11,26,Jalang,Nazir Jamaluddin,"Yasmin Khaniff, Hairie Othman, Kuswadinata, Maria Farida, Yang Kassim, Ridzuan Hashim, Faizal Hussein",Drama,,,
2009,12,3,My Spy,Afdlin Shauki,"Maria Farida, AC Mizal, Afdlin Shauki, Harun Salim Bachik, Carmen Soo, Adlin Aman Ramlie, Ridzuan Hashim",Comedy,,[24],
2009,12,10,Santau,Azhari Mohd Zain,"Esma Daniel, Puteri Mardiana, Riezman Khuzaimi, Bob Lokman, Zul Handy Black",Thriller / Horror,MIG Productions,[25],
2009,12,17,Pulau Asmara,Uttam Kumar Thangiah,"Sheikh Bolkhiah, Abby Azis, Faizal Ramly, Latif Ibrahim, Aziz Singah, Shasha Arsheela",Romance,,[26],
2009,12,24,Muallaf,Yasmin Ahmad,"Sharifah Amani, Ning Baizura, Sharifah Alesya, Yeo Yann Yann, Brian Yap, Rahim Razali",Drama,Malay-English-Mandarin-language Film,[27],
2009,12,31,Duhai Si Pari-Pari,Azmi Mohd Hata,"Harun Salim Bachik, Liyana Jasmay, Que Haidar, Remy Ishak, Aziz Sattar, Farid Kamil, Nabila Huda, Hans Isaac, Zizan Razak",Comedy / Fantasy,,,
2010,1,14,Adnan Sempit,Ahmad Idham,"Shaheizy Sam, Intan Ladyana, Yana Samsudin, Cat Farish, Julia Hana, Along Raja Lawak",Comedy / Drama,,,
2010,1,28,2 Hati 1 Jiwa,Abdul Razak Mohaideen,"Fouziah Ghous, Yasmin Hani, Fahrin Ahmad, Ziela Jalil, Mustapha Kamal",Comedy / Family / Drama,,,
2010,2,11,Lu Pikirlah Sendiri De Movie,Aminah Rhapor,"Ahmad Nabil Ahmad, Puteri Sarah Liyana, Mila, Meet Uncle Hussain, Vanida Imran, Zizan Razak",Comedy,,[3],
2010,2,25,Niyang Rapik,Ahmad Idhamu,"Nasir Bilal Khan, Zed Zaidi, Liyana Jasmay, Fizz Fairuz, Shaheizy Sam, Awal Ashaari",Horror,,,
2010,3,11,V3: Samseng Jalanan,Farid Kamil,"Farid Kamil, Bront Palarae, Aqasha, Lisa Surihani, Intan Ladyana",Action,MIG Production Preceded by Remp-It (2006),[5],
2010,3,25,Evolusi KL Drift 2,Syamsul Yusof,"Syamsul Yusof, Farid Kamil, Scha Alyahya, Shaheizy Sam, Aaron Aziz, Remy Ishak, Hetty Sarlene",Action,Skop Productions Grand Brilliance Preceded by Evolusi KL Drift (2008),,
2010,4,8,Semerah Cinta Stilleto,Ahmad Idham,"Farid Kamil, Lisa Surihani, Cat Farish, Shaharuddin Thamby, Nanu Baharuddin, Jamali Shadat",Comedy / Romance,MIG Production,[7],
2010,4,22,Hooperz,Rosihan Zain,"Melissa Maureen, Mustapha Kamal, Amy Mastura, Remy Ishak, Zazleen Zulkafli, Adibah Noor, Anita Baharom, Juliana Evans",Comedy / Sports,Grand Brilliance,,
2010,5,6,Belukar,Jason Chong,"Bront Palarae, Daphne Iking, Chew Kin Wah, Danny X-Factor, Ahmad Tarmimi Siregar, Along Eyzendy",Action / Drama / Romance,,[9],
2010,5,20,Andartu Terlampau 21 Hari Mencari Suami,Din CJ,"Haliza Misbun, Fahrin Ahmad, Awie, Erra Fazira, Jalaluddin Hassan, Farah Fauzana, Maimon Mutalib",Comedy / Romance,,,
2010,6,3,Lagenda Budak Setan,Sharad Sharan,"Farid Kamil, Lisa Surihani, Fazura, Que Haidar, Raja Farah",Drama / Romance,Adapted from the novel of the same name authored by Ahadiat Akashah,[11],
2010,6,3,Kecoh Betul,"S. Baldev Singh, Ikhzal Azfarel Ideris","Saiful Apek, Ahmad Nabil Ahmad, Diana Danielle, Bell Ngasri, Shah R., Haryati Hamzah, Vanessa Chong, Aziz Sattar, Sheila Mambo, Fauziah Nawi",Action / Comedy,White Mepart Entertainment,,
2010,6,17,Kapoww!!,Azizi Chunk,"Lisa Surihani, Afdlin Shauki, Bell Ngasri, Zizan Razak, Awie, Harun Salim Bachik",Action / Comedy,,,
2010,7,1,Zoo,Azhari Mohd Zain,"Mazlan Pet Pet, Lisa Surihani, Bob Lokman, Azlee Jaafar",Action / Comedy,MIG Production,[14],
2010,7,15,Mantra,Azhari Mohd Zain,"Mas Muharni, Zul Handy Black, Hasnul Rahmat, Hamdan Ramli, Ana Dahlia",Horror / Mystery / Suspense,,,
2010,9,9,Senario Asam Garam,Hatta Azad Khan,"Azlee Jaafar, Mazlan Pet Pet, Zaibo, Julia Hana, Fimie Don, Nadia Mustafar, Syanie",Comedy / Romance / Family,Metrowealth Pictures,,
2010,9,9,4 Madu,Abdul Razak Mohaideen,"Saiful Apek, Rozita Che Wan, Fasha Sandha, Rosnah Mat Aris, Allana Amir, Marsha Milan Londoh, Rahim Razali, Sazzy Falak, Latif Ibrahim, Bienda",Comedy / Romance,,,
2010,9,23,Magika,Edry Abdul Halim,"Mawi, Diana Danielle, Fimie Don, Ziana Zain, Maya Karin, Sharifah Amani, Sharifah Aleya, Ning Baizura, M. Nasir, Vanida Imran, Nabil Ahmad, Aznil Nawawi",Adventure / Musical / Fantasy,,,
2010,10,7,Jangan Pandang Belakang Congkak 2,Ahmad Idham,"Mazlan Pet Pet, Azlee Jaafar, Cat Farish, Lisa Surihani, Nora Danish, Bob Kuman",Comedy / Horror,,[19],
2010,10,21,Cuti-Cuti Cinta,Ahmad Idham,"Farid Kamil, Nora Danish, Cat Farish, Zaibo, Azizah Mahzan, Kazar Saisi, Zed Zaidi",Comedy / Romance,Metrowealth Pictures,,
2010,11,4,Estet,Mamat Khalid,"Farid Kamil, Gandhi Nathan, Rosyam Nor, Sofi Jikan, Jasmine Michael, Mislina Mustaffa, David Arumugam",Comedy / Drama / Romance / Musical,Naga VXS,[21],
2010,11,11,Crayon,Dean A. Burhanuddin,"Hon Kahoe, Faisal Abdullah, Adibah Noor, Joshry Adamme",Family / Dance / Independent,"English-, Mandarin-, Tamil-language film",[22],
