year,month,day,title,director,cast,genre,href,gross(RM),Budget(Rm)
2004,1,2,Trauma,Aziz M. Osman,"Amy Mastura, Nasha Aziz, Azhar Sulaiman, Sharifah Aleya, Seelan Paul",Thriller,,,
2004,1,29,Kuliah Cinta,Abdul Razak Mohaideen,"Erra Fazira, Yusry KRU, Zahnita Hussein, Saiful Apek, Zahida Rafik, Yassin, Mohamad Faizal Hanafi (Ajai), Farid Kamil, Azza Elite, Cico Rashid, Azman Ahmad",Comedy / Romance,,,
2004,2,26,Bisikan Remaja,"Zulkeflie M. Osman, Din Glamour","Nisdawati, Zed Zaidi, Hasnul Rahmat, Nasrizal Ngasri, A. R. Badul, M. Rajoli, Baharuddin Omar, Rosnah Johari, Kamarool Yusof, Rosyam Nor, Pansha, Aziz M. Osman, Princess",Comedy / Romance,,,
2004,3,11,Buli,Afdlin Shauki,"Afdlin Shauki, Nasha Aziz, Hans Isaac, Sharifah Shahira, Hattan, Ako Mustapha, Patrick Teoh, Kartina Aziz, AC Mizal, Jeslina Hashim, Jalil Hamid, Erma Fatima, Harun Salim Bachik, Rashid Salleh, Riezman Khuzaimie, Din Beramboi, Ifa Raziah, Soraya Dean, Jason Lo, Joanna Bessey, Awie, Na’a Murad",Comedy / Romance,,,
2004,3,25,Bintang Hati,Aziz M. Osman,"Amy Mastura, Anuar Zain, Fasha Sandha, Jaafar Onn, Umie Aida, M. Rajoli, Rosnah Mat Aris, Spider, Saiful Apek, Erma Fatima",Comedy / Romance,,,
2004,4,8,Di Ambang Misteri,Silver Chung,"Zamarul Hisham, Elaine Daly, Raja Azery, Tony Yusop, Pekin Ibrahim, Kuswadinata, Melissa Saila, Whymen Young, Wan Suhaimi, Hussein Abu Hassan, Nabila Huda",Thriller / Mystery,,,
2004,4,29,Gila-Gila Pengantin Remaja,Aziz M. Osman,"Zahnita Hussein, Aszerul Beego (Phyne Ballerz), Rozaidi Abdul Jamil, Afdlin Shauki, Juliana Banos, Saiful Apek, A. R. Badul, Sheila Mambo",Comedy,,,
2004,5,20,Pontianak Harum Sundal Malam,Shuhaimi Baba,"Maya Karin, Azri Iskandar, Rosyam Nor, Eizlan Yusof, Kavita Sidhu, Sahronizam, Nanu Baharuddin, Ida Nerina, Sharifah Aleya, Haiza, Yusmal, Adam Hamid, Nadia Mustafa, Aziz Sattar, Shah Reza, Azwan Ali, Sofia Ibrahim, Wahid Satay, Aimi Jarr",Drama / Horror,,,
2004,6,3,Bicara Hati,Rosnani Jamil,"Fazura, Nick Mikhail, Tengku Shahirah, Zamarul Hisham, Jalaluddin Hassan, Norlida Ahmad, Shaharudin Thamby, Azween Aziz, Saiful Izham Iskandar, Eddie Halim Success, Suraya Aziz, Rosnani Jamil, Mustapha Maarof, Rozaidi Jamil, Hanis Halim, Too Cloze",Drama / Romance,,,
2004,6,24,Berlari Ke Langit,Badaruddin Azmi,"Rosyam Nor, Fasha Sandha, Hasnul Rahmat, Danial Hazly, Siti Elizad, Saiful Apek, Md. Said Abdul Ghani, Lia Fidzriana, Adman Salleh, Fauziah Nawi, Wong Sip Nen",Drama / Romance,,,
2004,7,22,Hingga Hujung Nyawa,Abdul Razak Mohaideen,"Erra Fazira, Yusry KRU, Khatijah Tan, Abu Bakar Omar, Ismail Din, Serina Redzuawan, Piee, Maidin, Zahida Rafik, Norlia Ghani, Vanida Imran, Rashidi Ishak, Farid Kamil",Drama / Romance,,,
2004,8,5,Makar,Silver Chung,"AC Mizal, Soraya Dean, Rashidi Ishak, Jason Chong, Azza Elite, Rita Rudaini, Vanida Imran, Tomok",Drama / Thriller,,,
2004,8,19,Aku No. 1,Aznil Nawawi,"Aznil Nawawi, Azwan Ali, Jeslina Hashim, Jaafar Onn, Munir (Phyne Ballerz), Rosnah Mat Aris",Comedy,,,
2004,8,31,Puteri Gunung Ledang,Saw Teong Hin,"Tiara Jacquelina, M. Nasir, Rahim Razali, Adlin Aman Ramli, Sofia Jane, Khir Rahman, Sabri Yunus, Man Bai, Radhi Khalid, Zulkifli Zain, Mahadi Shor, Khairul Anwar, Ruminah Sidek, Christine Hakim, Slamet Rahardjo, Alex Komang, Dian Sastrowardoyo, Melissa Saila",Drama / Romance,,,
2004,9,9,Buai Laju-Laju,U-Wei Saari,"Eman Manan, Betty Banafe, Khalid Salleh, Liza Zain, Hasnul Rahmat, Baharuddin Omar, Adlin Aman Ramli, Anwar Idris, Amran Tompel, Firdauz Azami",Drama,,,
2004,9,23,Cinta Luar Biasa,Rashid Sibir,"Nasha Aziz, Saiful Apek, Hans Isaac, Syanie, Ako Mustapha, Erma Fatima, Fauziah Nawi, Husin Jojo, Norlia Ghani, Jasmin Hamid, Umie Aida, Aqasha, Wan Maimunah, Rosnah Mat Aris",Comedy / Romance,,,
2004,11,14,Tujuh Perhentian,Abdul Razak Mohaideen,"Erra Fazira, Farid Kamil, Vanida Imran, Maya Karin, Waheeda, Rashidi Ishak, Serina Redzuawan, Hattan, A. Shukor Mohaideen",Horror / Romance,,,
2004,11,14,I Know What You Did Last Raya,Abdul Razak Mohaideen,"Azlee, Mazlan, Waheeda, Zamarul Hisham, Ebby Yus, Erra Fazira, Pie, Khatijah Tan, Aznah Hamid, Mak Jah, Dynaz",Comedy / Mystery,,,
2004,12,2,SH3,Zek Zukry,"Ashraf Sinclair, Fasha Sandha, Nasreen Ngasri, Opie Zami, Fara Fauzana, Fezrul Khan, Adrea Abdullah, Pushpa Narayan, Pa'din, Ridzuan Hashim, Norlida Ahmad, Rosnah Johari, Louisa Chong, Yazid Sobrani, Kumin, Saiful Izham Iskandar, Ruffedge, V.E",Comedy,,,
2004,12,16,Biar Betul,Aziz M. Osman,"Afdlin Shauki, Syanie, Wahid Senario, Saiful Apek, Yassin, Accapan, Linda Onn",Comedy / Crime,,,
2004,12,23,Tangkai Jering,Abdul Razak Mohaideen,"Yassin Yahya, Elly Mazlein, Piee, Khatijah Tan, Ahmad Idham, Rina Khan, Azlee, Aznah Hamid, Serina Redzuawan, Farid Kamil, Ezad Exists, Shah Kassim, Zahan",Comedy,,,
2004,12,23,Ah Lok Kafe,Anwardi Jamil,"Leonard Tan, Shawn Lee, Cheryl Lee, Ida Nerina, Masnaida Samsudin, Saiful Izham Iskandar, Nell Ng, Sue Tan, Linga Rajan, Man Bai, Reshmonu, Low Ngai Yuen, Othman Hafsham, Soo Kui Jien, Louisa Chong, Kee Thuan Chye, Pushpa Narayan, Harmandar Singh, Kenny Tay, Anwardi Jamil, Reggie Lee",Comedy,,,
2005,1,13,Gangster,Badaruddin Azmi,"Rosyam Nor, Umie Aida, Hasnul Rahmat, Ako Mustapha, Pushpa Narayan, Nurul Hana, Siti Elizad, Aqasha, Saiful Apek, Adlin Aman Ramli, Zack Taipan",Action / Crime,,,
2005,1,13,Chemman Chaalai,Deepak Kumaran Menon,"Saratha Sivalingam, Gandhi Nathan, Kalyani, Shangkara, Santhia Marathamuthu, Tharoni Mottian, Dhaarshini Sankran, Dinesh Ganesan, Karthikeyan, Saran, Maniam Periannan, Bala Sundram, Yap Ah Lan, Singaram Mookkan, Ramashvary Achiah, Zainal, Lim Yoong Chun, Foo Suet Mun, L. Marathamuthu, Vijaya Letchumy, Sujenthiran, Sharon Lee, Khairul Hakimin, Ramesh",Drama,,,
2005,1,27,Tak Ori Tapi OK,A. R. Badul,"Nasha Aziz, A. R. Badul, Musly Amir, S. Azli, Rahim Dalmia, Amran Tompel, Tamrin Ibrahim, Saiful Apek, Yusni Jaafar, Latiff Ibrahim, Jalil Hamid, Rosnah Johari, Ahmad Tarmimi Serigar, Herman Tino, Zulkifli Ismail, Nagaraj, Yazid Sobrani, Ropie Cecupak, Osman Kering, Pie, Rama",Comedy,,,
2005,2,9,GK3 The Movie,Yusof Haslam,"Abby Abadi, Sarimah Ibrahim, Norman Hakim, Faizal Hussein, Julia Hana, Misha Omar, Aqasha, Ezany, Saiful Apek, Corrie Lim, Zack Kool, Andy Kuanda, A. Galak, Farid Amirul, Din Maidin, Yusof Haslam, Elly Mazlein, Zambri, Zulkifli Ismail",Action / Crime,,,
2005,2,24,Sepet,Yasmin Ahmad,"Sharifah Amani, Ng Choo Seong, Harith Iskander, Ida Nerina, Adibah Noor, Tan Mei Ling, Thor Kah Hoong, Linus Chung, Alan Yun Kam Lun",Drama / Romance,,,
2005,3,10,Potret Mistik,Abdul Razak Mohaideen,"Cico Harahap, Lintang Asih, Khai, Winnie Kok, Erra Fazira, Khir Rahman, Zamarul Hisham, Khatijah Tan, Intan Jusmiera, Aminah Ahmad, Farid Kamil, Serina Redzuawan, Aznah Hamid, Ismail Din, Seelan Paul, Normala Omar, Pierre Andre",Mystery / Thriller,,,
2005,3,24,Sembilu 2005,Yusof Haslam,"Vince Chong, Hetty Sarlene, Zed Zaidi, Ziana Zain, Khai, Juliana Banos, Pushpa Narayan, Erra Fazira, Angeline Tan, Awie, Buzen Hashim, Diana Johor, Norsyiela, Salleh Yaakob, Aznah Hamid, Aziz Singah, Abby Abadi, Azza Elite, Johan Abdullah, Ernie Sharlina, Shahira, Vaneesa Chong",Drama / Romance,,,
2005,5,5,Kemarau Cinta,Meor Hashim Manap,"Nasha Aziz, Eman Manan, Syaiful Ahmad Dolbar (Pool), Noralbaniah, Aziz Singah, Azean Irdawaty, Hisham Ahmad Tajuddin, Piee, Hamid Gurkha, Kamarool Yusof, Osman Kering, Hamdan, Illya, Cecupak",Drama / Romance,,,
2005,5,12,Aandal,Sandosh Kesavan,"Nandhini, R. Jeyaraman (THR Ram), Shangkara, Yegavalli, Shanmuganathan Manoramalingam",Drama,,,
2005,5,19,Senario XX,Aziz M. Osman,"Wahid, Saiful Apek, Fazura, Mazlan, Azlee, Wahid Satay, Lazizah Ahmad, Rosyam Nor, Yassin Yahya, Chef Wan, Siti Fazurina",Comedy / Science fiction,,,
2005,6,2,Lady Boss,Abdul Razak Mohaideen,"Ning Baizura, Saiful Apek, Erra Fazira, Yusry KRU, Farid Kamil, Ismail Din, Khatijah Tan, M. Rajoli, Zamarul Hisham, Zulkifli Zain, Normala Omar, Piee, Aziz M. Osman, Hafidzuddin Fazil, Nasir Ali, Aleeza Kassim, Nurul Azura, Shah Kassim, Pierre Andre",Comedy / Romance,,,
2005,6,16,Pontianak Menjerit,Yusof Kelana,"Ziana Zain, Juliana Banos, Azlee Jaafar, Faizal Hussein, Mazlan Pet Pet, Zad Zaidi, Sheila Rusly, Zarina Zainoordin, Amran Tompel, Nursyella, Osman Kering, Corrie Lee, Julia Hana, Jalaluddin Hassan, Angeline Tan, Zambri",Horror / Comedy,,,
2005,6,30,Qaisy & Laila,Raja Ahmad Alauddin,"Jehan Miskin, Fazura, Umie Aida, Radhi Khalid, Redzuan Hashim, Rahimah Rahim, Fahrin Ahmad, Tengku Nurtasha, Farok Khan",Drama / Romance,,,
2005,8,11,Gol & Gincu,Bernard Chauly,"Fazura, Ashraf Sinclair, Sazzy Falak, Pierre Andre, Rafidah Abdullah, Sharifah Amani, Melissa Maureen Rizal, Kartini Kamalul Ariffin, Celina Khor, Zarina Zainoordin, Noor Anita Mohd Tahir, Farrah Shamilla, Anding, Zahim Albakri, Ida Nerina, Bernice Chauly, Khatijah Tan, Yasmin Yusuff",Comedy / Romance,,,
2005,8,25,Gila-Gila Pengantin Popular,Aziz M. Osman,"Erra Fazira, Afdlin Shauki, Saiful Apek, Norman Hakim, Linda Nanuwil, Nora Danish, Afida Es, Sarip Nor, Haris Aben Fadhillah, Aziz M. Osman, Erma Fatima, Yusof Haslam",Comedy,,,
2005,9,8,KL Menjerit 1,Badaruddin Azmi,"Rosyam Nor, Erra Fazira, Que Haidar, Sheera Iskandar, Saiful Apek, Zul Huzaimy, Danny X-Factor, Md. Said Abdul Ghani, Beggo",Action / Drama,,,
