,names,links,product_ids,images,lowPrice,highPrice,price,bestRating,worstRating,ratingCount,ratingValue
39,ZANZEA Women Casual Long Sleeve Turn-Down-Collar Printed Blouse,https://shopee.com.my/ZANZEA-Women-Casual-Long-Sleeve-Turn-Down-Collar-Printed-Blouse-i.26973388.5948874818,5948874818,https://cf.shopee.com.my/file/63088043621910ca90a717d1e0886ed3,,,33.00,5.0,1.0,299,4.95
40,ZANZEA Women Long Sleeve Ruffled Floral Embroidered Blouse,https://shopee.com.my/ZANZEA-Women-Long-Sleeve-Ruffled-Floral-Embroidered-Blouse-i.26973388.3412077147,3412077147,https://cf.shopee.com.my/file/9db65e9c31b8612e487c106d607f4813,,,36.22,5.0,1.0,1232,4.87
41,ZANZEA Women O-neck Striped Long Sleeve Pockets Muslim Dress,https://shopee.com.my/ZANZEA-Women-O-neck-Striped-Long-Sleeve-Pockets-Muslim-Dress-i.26973388.7941956602,7941956602,https://cf.shopee.com.my/file/62935555354440aa9060e13cd068eed0,,,36.00,5.0,1.0,579,4.92
42,ZANZEA Women Long Sleeve Loose Casual Lady Grid Dress,https://shopee.com.my/ZANZEA-Women-Long-Sleeve-Loose-Casual-Lady-Grid-Dress-i.26973388.905763801,905763801,https://cf.shopee.com.my/file/68d9905591da1ac6a5ef8eba74c7f52a,,,29.50,5.0,1.0,860,4.91
43,Women's Winter Hoodie Long Sleeve Bodycon Plus Size Dress,https://shopee.com.my/Women's-Winter-Hoodie-Long-Sleeve-Bodycon-Plus-Size-Dress-i.26973388.1252760464,1252760464,https://cf.shopee.com.my/file/4905b4f528f01bb6edfac4faf535f8be,,,34.00,5.0,1.0,1378,4.84
44,ZANZEA Women Casual Wide Legs Elastic Belted Solid Color Long Pants,https://shopee.com.my/ZANZEA-Women-Casual-Wide-Legs-Elastic-Belted-Solid-Color-Long-Pants-i.26973388.4233821324,4233821324,https://cf.shopee.com.my/file/773a112a08f18fbe8104ce9221b06893,,,30.50,5.0,1.0,682,4.92
45,ZANZEA Women V Neck Puff Sleeve Back Zipper Long Sleeve Dress,https://shopee.com.my/ZANZEA-Women-V-Neck-Puff-Sleeve-Back-Zipper-Long-Sleeve-Dress-i.26973388.3933889886,3933889886,https://cf.shopee.com.my/file/7b925a2ccf7be534fa5b62e2ceb9cd8c,,,42.00,5.0,1.0,705,4.91
46,ZANZEA Women Casual Turn-Down-Collar Long Sleeve Muslim Blouse,https://shopee.com.my/ZANZEA-Women-Casual-Turn-Down-Collar-Long-Sleeve-Muslim-Blouse-i.26973388.7447924275,7447924275,https://cf.shopee.com.my/file/03b869ee9661168fbafd5e0544d39534,,,36.50,5.0,1.0,273,4.93
47,ZANZEA Women Casual Loose Cotton Beach Plus Size Maxi Dress,https://shopee.com.my/ZANZEA-Women-Casual-Loose-Cotton-Beach-Plus-Size-Maxi-Dress-i.26973388.2229933858,2229933858,https://cf.shopee.com.my/file/38b2d5115de2f2670db968a39896abc8,,,35.00,5.0,1.0,610,4.94
48,ZANZEA Women's Plus Size Vintage Retro Boho Printed Blouse,https://shopee.com.my/ZANZEA-Women's-Plus-Size-Vintage-Retro-Boho-Printed-Blouse-i.26973388.1697116107,1697116107,https://cf.shopee.com.my/file/83257078bce8d26df71bcd8f51b71894,,,23.90,5.0,1.0,1311,4.88
49,ZANZEA Women's V-Neck Rolled-Up Long Sleeve Denim Buttons Blouse,https://shopee.com.my/ZANZEA-Women's-V-Neck-Rolled-Up-Long-Sleeve-Denim-Buttons-Blouse-i.26973388.1233531158,1233531158,https://cf.shopee.com.my/file/bee38b8e8d126cd13dcc5344c598867b,,,28.00,5.0,1.0,1567,4.90
50,ZANZEA Women Summer Floral Chffion Beach Plus Size Cardigan,https://shopee.com.my/ZANZEA-Women-Summer-Floral-Chffion-Beach-Plus-Size-Cardigan-i.26973388.2649482158,2649482158,https://cf.shopee.com.my/file/1912438ac357589e143256b136d20a07,,,23.50,5.0,1.0,769,4.85
51,ZANZEA Womens Oversized Casual V Neck Long Solid Baggy Dress,https://shopee.com.my/ZANZEA-Womens-Oversized-Casual-V-Neck-Long-Solid-Baggy-Dress-i.26973388.1800438856,1800438856,https://cf.shopee.com.my/file/93281554e46d65cce11af09816ea012c,,,23.50,5.0,1.0,837,4.82
52,ZANZEA Women's Casual Long Sleeve Solid Round Neck Loose Dress,https://shopee.com.my/ZANZEA-Women's-Casual-Long-Sleeve-Solid-Round-Neck-Loose-Dress-i.26973388.525309865,525309865,https://cf.shopee.com.my/file/4fb16abe7198ae8259b4b7799cb5f55c,,,30.00,5.0,1.0,802,4.87
53,ZANZEA Women's Plus Size Sleeveless Strappy Baggy Long Jumpsuit,https://shopee.com.my/ZANZEA-Women's-Plus-Size-Sleeveless-Strappy-Baggy-Long-Jumpsuit-i.26973388.1149655994,1149655994,https://cf.shopee.com.my/file/78cb8ea0d60da430b611970ed8ba84df,,,29.50,5.0,1.0,534,4.86
54,ZANZEA Women Flare Sleeve High Low Loose Casual Button Down Blouse,https://shopee.com.my/ZANZEA-Women-Flare-Sleeve-High-Low-Loose-Casual-Button-Down-Blouse-i.26973388.2336836796,2336836796,https://cf.shopee.com.my/file/8bee9b93d7f4b2a25ea247cfca43354f,,,23.03,5.0,1.0,1213,4.92
55,ZANZEA Women's Plus Size Long Sleeve Striped Casual Loose Blouse,https://shopee.com.my/ZANZEA-Women's-Plus-Size-Long-Sleeve-Striped-Casual-Loose-Blouse-i.26973388.1673723757,1673723757,https://cf.shopee.com.my/file/1cef354f088db7ba357249d4764a2c03,,,24.88,5.0,1.0,1359,4.87
56,ZANZEA Women's Casual Cotton Loose Plus Size Maxi Dress,https://shopee.com.my/ZANZEA-Women's-Casual-Cotton-Loose-Plus-Size-Maxi-Dress-i.26973388.650838905,650838905,https://cf.shopee.com.my/file/8ca2096fccb247efdd032ca19d7ea1fe,,,29.52,5.0,1.0,891,4.79
57,ZANZEA Women Spring Casual Cotton Plus Size Loose Cardigan,https://shopee.com.my/ZANZEA-Women-Spring-Casual-Cotton-Plus-Size-Loose-Cardigan-i.26973388.2840620819,2840620819,https://cf.shopee.com.my/file/b902eb1ec711a954c916c5e71d902094,,,33.00,5.0,1.0,643,4.91
